,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,AgeRange,FareRange
0,0,3,1,1,0,0.0,0,3,1
1,1,1,0,1,0,1.0,1,5,5
2,1,3,0,0,0,0.0,3,4,1
3,1,1,0,1,0,0.0,1,4,4
4,0,3,1,0,0,0.0,0,4,1
5,0,3,1,0,0,2.0,0,4,1
6,0,1,1,0,0,0.0,0,6,4
7,0,3,1,3,1,0.0,2,1,2
8,1,3,0,0,2,0.0,1,4,2
9,1,2,0,1,0,1.0,1,2,3
10,1,3,0,1,1,0.0,3,1,2
11,1,1,0,0,0,0.0,3,7,2
12,0,3,1,0,0,0.0,0,3,1
13,0,3,1,1,5,0.0,0,5,3
14,0,3,0,0,0,0.0,3,2,1
15,1,2,0,0,0,0.0,1,6,2
16,0,3,1,4,1,2.0,2,1,2
17,1,2,1,0,0,0.0,0,4,2
18,0,3,0,1,0,0.0,1,4,2
19,1,3,0,0,0,1.0,1,4,1
20,0,2,1,0,0,0.0,0,4,2
21,1,2,1,0,0,0.0,0,4,2
22,1,3,0,0,0,2.0,3,2,1
23,1,1,1,0,0,0.0,0,4,3
24,0,3,0,3,1,0.0,3,2,2
25,1,3,0,1,5,0.0,1,5,3
26,0,3,1,0,0,1.0,0,4,1
27,0,1,1,3,2,0.0,0,3,8
28,1,3,0,0,0,2.0,3,4,1
29,0,3,1,0,0,0.0,0,4,1
30,0,1,1,0,0,1.0,4,5,2
31,1,1,0,1,0,1.0,1,4,8
32,1,3,0,0,0,2.0,3,4,1
33,0,2,1,0,0,0.0,0,8,2
34,0,1,1,1,0,1.0,0,4,5
35,0,1,1,1,0,0.0,0,5,4
36,1,3,1,0,0,1.0,0,4,1
37,0,3,1,0,0,0.0,0,3,1
38,0,3,0,2,0,0.0,3,3,2
39,1,3,0,1,0,1.0,3,2,2
40,0,3,0,1,0,0.0,1,5,1
41,0,2,0,1,0,0.0,1,4,2
42,0,3,1,0,0,1.0,0,4,1
43,1,2,0,1,2,1.0,3,1,3
44,1,3,0,0,0,2.0,3,3,1
45,0,3,1,0,0,0.0,0,4,1
46,0,3,1,1,0,2.0,0,4,2
47,1,3,0,0,0,2.0,3,4,1
48,0,3,1,2,0,1.0,0,4,2
49,0,3,0,1,0,0.0,1,3,2
50,0,3,1,4,1,0.0,2,2,3
51,0,3,1,0,0,0.0,0,3,1
52,1,1,0,1,0,1.0,1,6,5
53,1,2,0,1,0,0.0,1,4,2
54,0,1,1,0,1,1.0,0,7,4
55,1,1,1,0,0,0.0,0,4,3
56,1,2,0,0,0,0.0,3,3,2
57,0,3,1,0,0,1.0,0,4,1
58,1,2,0,1,2,0.0,3,1,2
59,0,3,1,5,2,0.0,2,2,3
60,0,3,1,0,0,1.0,0,3,1
61,1,1,0,0,0,,3,5,5
62,0,1,1,1,0,0.0,0,5,5
63,0,3,1,3,2,0.0,2,1,2
64,0,1,1,0,0,1.0,0,4,2
65,1,3,1,1,1,1.0,2,4,2
66,1,2,0,0,0,0.0,1,4,2
67,0,3,1,0,0,0.0,0,3,1
68,1,3,0,4,2,0.0,3,3,1
69,0,3,1,2,0,0.0,0,4,1
70,0,2,1,0,0,0.0,0,4,2
71,0,3,0,5,2,0.0,3,3,3
72,0,2,1,0,0,0.0,0,3,5
73,0,3,1,1,0,1.0,0,4,2
74,1,3,1,0,0,0.0,0,4,4
75,0,3,1,0,0,0.0,0,3,1
76,0,3,1,0,0,0.0,0,4,1
77,0,3,1,0,0,0.0,0,4,1
78,1,2,1,0,2,0.0,2,1,2
79,1,3,0,0,0,0.0,3,4,2
80,0,3,1,0,0,0.0,0,3,1
81,1,3,1,0,0,0.0,0,4,1
82,1,3,0,0,0,2.0,3,4,1
83,0,1,1,0,0,0.0,0,4,3
84,1,2,0,0,0,0.0,3,3,2
85,1,3,0,3,0,0.0,1,4,2
86,0,3,1,1,3,0.0,0,3,3
87,0,3,1,0,0,0.0,0,4,1
88,1,1,0,3,2,0.0,3,3,8
89,0,3,1,0,0,0.0,0,3,1
90,0,3,1,0,0,0.0,0,4,1
91,0,3,1,0,0,0.0,0,3,1
92,0,1,1,1,0,0.0,0,6,4
93,0,3,1,1,2,0.0,0,4,2
94,0,3,1,0,0,0.0,0,7,1
95,0,3,1,0,0,0.0,0,4,1
96,0,1,1,0,0,1.0,0,8,3
97,1,1,1,0,1,1.0,0,3,4
98,1,2,0,0,1,0.0,1,4,2
99,0,2,1,1,0,0.0,0,4,2
100,0,3,0,0,0,0.0,3,4,1
101,0,3,1,0,0,0.0,0,4,1
102,0,1,1,0,1,0.0,0,3,5
103,0,3,1,0,0,0.0,0,4,1
104,0,3,1,2,0,0.0,0,5,1
105,0,3,1,0,0,0.0,0,4,1
106,1,3,0,0,0,0.0,3,3,1
107,1,3,1,0,0,0.0,0,4,1
108,0,3,1,0,0,0.0,0,5,1
109,1,3,0,1,0,2.0,3,4,2
110,0,1,1,0,0,0.0,0,6,4
